subject,filename,issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning,
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,11,27,centres,...e likely to use digital technology at a **centres** discretion.  Digital technology is appl...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,'Centres discretion' should be 'centre's discretion' (possessive singular).,28
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,12,28,webbased,"...ned focus period, candidates can access **webbased** software applications, however no other...",LTC,PARSING_ERROR,90,'Web-based' is a compound adjective and should be hyphenated according to OED standards.,29
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,13,29,Paul Gaugin,"...riate way).  #### Examples could be:  - **Paul Gaugin** and the Tahitian women that he painted,...",LTC,SPELLING_ERROR,100,"Incorrect spelling of the artist's proper name, Paul Gauguin.",30
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,14,34,non toxic,.../li><li>Using eco-friendly pigments and **non toxic** materials wherever possible.</li><li>Wo...,LTC,PARSING_ERROR,90,Missing hyphen in the compound adjective 'non-toxic'.,35
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,15,34,or,...encourage learners to take this approach** or** we risk the methods and materials that ...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,Missing comma before the coordinating conjunction 'or' joining two independent clauses.,35
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,16,36,all of the,"... recycle, repair, rethink and refuse in **all of the** work that they create. - Consider their...",LTC,STYLISTIC_PREFERENCE,70,'All the work' is more concise than 'all of the work' but both are grammatically correct.,37
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,17,36,products,"...work that they create. - Consider their **products** life cycle how are materials sourced, h...",LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,Missing possessive apostrophe in 'products' life cycle'.,37
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,23,38,all and all,...tant to Learners because RSE affects us **all and all** learners should take the opportunity to...,LTC,STYLISTIC_PREFERENCE,70,The repetition of 'all' is grammatically acceptable but could be rephrased for better flow.,39
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,24,39,1980's,...f stigma around sexual health since the **1980's** when the 'Don't Die of Ignorance' campa...,LTC,PARSING_ERROR,100,"HTML entity &#x27; is a parsing artifact, and the apostrophe is incorrectly used for a plural decade (should be 1980s).",40
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,25,39,Womens,...y relationships for young people. Welsh **Womens** Aid - Healthy Relationships |  {39}----...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Missing possessive apostrophe in the proper noun 'Women's Aid'.,40
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,27,43,inside of,...ains that the ability to find something **inside of** yourself to express creatively to the w...,LTC,STYLISTIC_PREFERENCE,70,'Inside' is more concise and generally preferred over 'inside of'.,44
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,29,46,and,...ted that feedback should remain positive** and** the teacher should create guidelines to...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,Missing comma before the coordinating conjunction 'and' joining two independent clauses.,47
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,33,48,and,...mes taken for granted. The size of paper** and** it's orientation and relationship to th...,LTC,FALSE_POSITIVE,100,The word 'and' is used correctly as a conjunction; this is a false positive.,49
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,36,50,tryptichs,"...of stories from the Bible (sometimes as **tryptichs**), the sculptural forms of Barbara Hepwo...",LTC,SPELLING_ERROR,100,The correct spelling is 'triptychs'.,51
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,40,52,and,...s in this area are developing frequently** and** communication design is a popular degre...,LTC,STYLISTIC_PREFERENCE,70,"The word 'and' is used correctly as a conjunction; adding a comma before it would be a stylistic preference, not a grammatical necessity.",53
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,42,58,comprises of,...xtile Design within GCSE Art and Design **comprises of** the creation of designs and products fo...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,The verb 'comprise' should not be followed by 'of'; it should be 'comprises' or 'consists of'.,59
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,43,59,',...ond to.  An example of this might be:  ***'**A new boutique hotel is opening which wi...,LTC,PARSING_ERROR,100,"`&#x27;` is an HTML entity for a single quote, indicating a parsing error.",60
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,44,59,eco -conscious,...ding the launch of the hotel to attract **eco -conscious** travellers and convey the cynefin. Imag...,LTC,PARSING_ERROR,100,'Eco-conscious' is a compound adjective and requires a hyphen; the space indicates a parsing error.,60
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,45,59,',...ithin the hotel as large format images. **'***  Learners must demonstrate the ability...,LTC,PARSING_ERROR,100,"`&#x27;` is an HTML entity for a single quote, indicating a parsing error.",60
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,46,59,time -lapse,"...igital processes and techniques such as **time -lapse** photography, video, photomontage and di...",LTC,PARSING_ERROR,100,'Time-lapse' is a compound term and requires a hyphen; the space indicates a parsing error.,60
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,50,65,an outcomes,"...hievements, where they are pleased with **an outcomes**, where things have gone wrong and how t...",LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,"'An' is used with singular nouns; 'outcomes' is plural, making 'an outcomes' grammatically incorrect.",66
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,53,65,or,...ing and reflecting on design development** or** they could be diarised entries into a b...,LTC,STYLISTIC_PREFERENCE,70,"The word 'or' is used correctly as a conjunction; adding a comma before it would be a stylistic preference, not a grammatical necessity.",66
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.csv,0,5,outside of,... **Supervision**  Work may be completed **outside of** the centre without direct supervision. ...,LTC,STYLISTIC_PREFERENCE,75,"While 'outside of' is grammatically acceptable, 'outside' is more concise and preferred in formal writing.",6
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.csv,1,5,are,... The marking scheme for this assessment **are** included in the candidate pack.  All ma...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,"Subject-verb agreement error: 'scheme' is singular, so the verb should be 'is' not 'are'.",6
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.csv,2,6,the to,...Further information**  You should refer **the to** WJEC Assessment Guide / JCQ Instruction...,LTC,PARSING_ERROR,95,Text corruption; 'refer the to' is nonsensical and likely a parsing artifact. Should be 'refer to the'.,7
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.csv,3,14,",","... understand the assessment requirements,** ,** but there are rules about the kind of h...",LTC,PARSING_ERROR,100,"Double comma 'requirements, ,' is a clear punctuation error, likely a parsing artifact.",15
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.csv,4,15,outlines,... The guidance in the graphic below will **outlines** what your work should include.  **Produ...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,"Grammatical error: 'will' requires the base form of the verb, so it should be 'will outline', not 'will outlines'.",16
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.csv,1,6,are,... The marking scheme for this assessment **are** included in the candidate pack.  All ma...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,"Subject-verb agreement error; 'scheme' is singular, so the verb should be 'is'.",7
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.csv,3,8,but,... not have to be a finished piece of work** but** there should be enough completed to dem...,LTC,POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,A comma is recommended before 'but' when it joins two independent clauses to improve readability.,9
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.csv,4,16,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,LTC,FALSE_POSITIVE,90,'Independently from' is grammatically correct and an acceptable phrasing in British English.,17
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.csv,5,16,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,LTC,FALSE_POSITIVE,90,'Independently from' is grammatically correct and an acceptable phrasing in British English.,17
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.csv,6,17,outlines,... The guidance in the graphic below will **outlines** what your work should include.  ![](_pa...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Incorrect verb form after the modal verb 'will'; it should be 'outline'.,18
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.csv,7,18,but,... not have to be a finished piece of work** but** there should be enough completed to dem...,LTC,POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,A comma is recommended before 'but' when it joins two independent clauses to improve readability.,19
Art-and-Design,overview-of-consultation-findings.csv,0,2,Exper,... and Communication Area of Learning and **Exper** | ience .15 | | Level 2 Award in Additi...,LTC,PARSING_ERROR,100,Truncated word 'Experience' caused by PDF line break in a table cell.,3
Art-and-Design,overview-of-consultation-findings.csv,3,6,and,...greater detail with Qualifications Wales** and** we will also be discussing the issue wi...,LTC,FALSE_POSITIVE,100,The conjunction 'and' is used correctly to connect independent clauses; no comma is strictly required for clarity.,7
Art-and-Design,overview-of-consultation-findings.csv,4,7,all of the,...ications will provide stakeholders with **all of the** information they require in due course....,LTC,FALSE_POSITIVE,100,The phrase 'all of the' is grammatically correct and acceptable; not an error.,8
Art-and-Design,overview-of-consultation-findings.csv,5,10,and,...hat the content is teachable in the time** and** we will strengthen our focus on reviewi...,LTC,FALSE_POSITIVE,100,The conjunction 'and' is used correctly to connect independent clauses; no comma is strictly required for clarity.,11
Art-and-Design,overview-of-consultation-findings.csv,6,11,and,... balance of physical and human geography** and** we have updated the possible areas to b...,LTC,FALSE_POSITIVE,100,The conjunction 'and' is used correctly to connect independent clauses; no comma is strictly required for clarity.,12
Art-and-Design,overview-of-consultation-findings.csv,7,11,that that,...ts generally agreed or partially agreed **that that** the proposed assessment approach is app...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Redundant repetition of the word 'that'.,12
Art-and-Design,overview-of-consultation-findings.csv,8,13,and,...sed concern that the weighting was heavy** and** it would impact on teacher workload. We...,LTC,FALSE_POSITIVE,100,The conjunction 'and' is used correctly to connect independent clauses; no comma is strictly required for clarity.,14
Art-and-Design,overview-of-consultation-findings.csv,9,14,whether or not,...dual learners or groups of learners and **whether or not** the teacher performs the control elemen...,LTC,FALSE_POSITIVE,100,The phrase 'whether or not' is grammatically correct and acceptable; not an error.,15
Art-and-Design,overview-of-consultation-findings.csv,10,16,and,...r for this unit is aware of the concerns** and** we will aim to include writing that rep...,LTC,FALSE_POSITIVE,100,The conjunction 'and' is used correctly to connect independent clauses; no comma is strictly required for clarity.,17
Art-and-Design,overview-of-consultation-findings.csv,12,18,with regards to,...t is clearly on 'Continuity and change' **with regards to** both language and ideas. There will now...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,The correct idiom is 'with regard to' (singular 'regard').,19
Art-and-Design,overview-of-consultation-findings.csv,13,19,and,... are supported by this new qualification** and** we will work to ensure that this is the...,LTC,POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,70,A comma is advisable before 'and' when it connects two independent clauses to improve clarity and flow.,20
Art-and-Design,wjec-gcse-art-and-design-specification.csv,0,4,Wa,...                           | 22 | | App **Wa** |  | x A: Opportunities for embedding e...,LTC,PARSING_ERROR,100,"Truncated word 'Wales' in a table cell, likely due to PDF conversion.",5
Art-and-Design,wjec-gcse-art-and-design-specification.csv,1,7,progressio,...dentity. - supporting the principles of **progressio**[n](#page-6-1)<sup>2</sup> by giving lea...,LTC,PARSING_ERROR,100,Truncated word 'progression' caused by a line break or footnote marker in PDF conversion.,8
Art-and-Design,wjec-gcse-art-and-design-specification.csv,2,10,Thet,...-------------  #### **Textile design**  **Thet** textile design pathway is defined as th...,LTC,SPELLING_ERROR,100,Typo; 'Thet' should be 'The'.,11
Art-and-Design,wjec-gcse-art-and-design-specification.csv,3,11,threedimensional,"...the work of historical and contemporary **threedimensional** designers and makers, as well as the di...",LTC,PARSING_ERROR,90,Missing hyphen in compound adjective 'three-dimensional' as per OED standard.,12
Art-and-Design,wjec-gcse-art-and-design-specification.csv,4,21,1 st,...released on the WJEC Portal on December **1 st** in the final year of each series. This ...,LTC,SPELLING_ERROR,100,Incorrect ordinal number formatting; '1 st' should be '1st'.,22
Business,gcse-business---delivery-guide.csv,2,16,and,...pected to demonstrate in their responses** and** they are then used in marking the work....,LTC,POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,70,A comma is advisable before 'and' when it connects two independent clauses to improve clarity and flow.,17
Business,gcse-business---guidance-for-teaching-unit-1.csv,2,20,google,...p research information could be done on **google** jam board or an interactive Canva white...,LTC,SPELLING_ERROR,100,Proper noun 'Google' should be capitalized.,21
Business,gcse-business---guidance-for-teaching-unit-1.csv,5,35,currents,...trends and use this to reflect on their **currents** skill set and explore what skills may b...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Incorrect word form; 'currents' should be 'current' as an adjective modifying 'skill set'.,36
Business,gcse-business---guidance-for-teaching-unit-1.csv,7,37,',...group working opportunity when teaching **'**The features of limited and unlimited | ...,LTC,PARSING_ERROR,100,HTML entity '&#x27;' is a parsing artifact and should be a single quote.,38
Business,gcse-business---guidance-for-teaching-unit-1.csv,8,40,exploring,"...t and industry figures. Learners should **exploring** the ONS website, reviewing relevant, up...",LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Incorrect verb form; 'should' must be followed by the base form of the verb ('explore').,41
Business,gcse-business---guidance-for-teaching-unit-1.csv,11,52,but,... liability. Other people can be employed** but** there is only one owner. | | STEEPLE | ...,LTC,POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,70,A comma should precede 'but' when joining two independent clauses to improve flow and adhere to formal writing conventions.,53
Business,gcse-business---guidance-for-teaching-unit-2.csv,0,7,hand written,"...ust be submitted digitally (they may be **hand written** and scanned, or completed digitally).  ...",LTC,PARSING_ERROR,90,The compound adjective 'hand-written' should be hyphenated.,8
Business,gcse-business---guidance-for-teaching-unit-2.csv,1,7,businesses,...2.3.1b | Environmental issues caused by **businesses** activity      | | 2.3.2b | How business...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,'Businesses' should be 'business' as an adjective modifying 'activity'.,8
Business,gcse-business---guidance-for-teaching-unit-2.csv,2,9,need explain,...erse in terms of society. Teachers will **need explain** that the Equality Pledge helps Welsh bu...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,"Missing 'to' after 'need' for the infinitive verb, should be 'need to explain'.",10
Business,gcse-business---guidance-for-teaching-unit-2.csv,3,9,pro-active,"...lity Pledge helps Welsh businesses take **pro-active** steps towards creating an inclusive, fa...",LTC,FALSE_POSITIVE,90,'Pro-active' is an acceptable and correctly hyphenated form in UK English.,10
Business,gcse-business---guidance-for-teaching-unit-2.csv,5,10,',...erstand what they mean. They could then **'**diamond 9 ' them as to which they believ...,LTC,PARSING_ERROR,100,HTML entity '&#x27;' is a parsing artifact and should be a single quote.,11
Business,gcse-business---guidance-for-teaching-unit-2.csv,6,10,lea rners,...eaders-and-trailblazers/)  Teachers and **lea rners** could use these websites to highlight s...,LTC,PARSING_ERROR,100,'Lea rners' is a parsing artifact; it should be the single word 'learners'.,11
Business,gcse-business---guidance-for-teaching-unit-2.csv,8,13,aging,"...d marketing strategies. For example, an **aging** population may lead companies to develo...",LTC,SPELLING_ERROR,100,'Aging' is the American spelling; the correct UK English spelling is 'ageing'.,14
Business,gcse-business---guidance-for-teaching-unit-2.csv,9,14,McDonalds,...s throughout the UK. Another example is **McDonalds** letting customers redeem their points a...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,"'McDonalds' is a proper noun and requires an apostrophe, 'McDonald's'.",15
Business,gcse-business---guidance-for-teaching-unit-2.csv,10,19,judgments,"... to analyse, draw conclusions, and make **judgments** based on their findings. This could inv...",LTC,SPELLING_ERROR,100,'Judgments' is the American spelling; the correct UK English spelling is 'judgements'.,20
Business,gcse-business---guidance-for-teaching-unit-2.csv,11,20,youtube,...ics   The Impact of Ethics on Business (**youtube**.com). As learners watch the video they ...,LTC,FALSE_POSITIVE,100,'youtube.com' is part of a URL and not a spelling error.,21
Business,gcse-business---guidance-for-teaching-unit-2.csv,12,23,youtube,"... video, Business Ethics Nestle VS Lush (**youtube**.com) https://youtu.be/otH6Fz7GJDg, they...",LTC,FALSE_POSITIVE,100,Part of a URL/domain name; not a spelling error.,24
Business,gcse-business---guidance-for-teaching-unit-2.csv,13,23,as to whether,"...Fz7GJDg, they can record their thoughts **as to whether** it is possible for a business to be bot...",LTC,STYLISTIC_PREFERENCE,70,Phrase is grammatically correct but could be more concise; a stylistic preference.,24
Business,gcse-business---guidance-for-teaching-unit-2.csv,14,25,businesses,...| 2.3.1b Environmental issues caused by **businesses** activity | Learners should understand h...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,Should be 'business activity' (singular noun acting as an adjective) or 'businesses' activity' (plural possessive).,26
Business,gcse-business---guidance-for-teaching-unit-2.csv,15,25,covers,... understand the various categories that **covers** the natural environment – this could be...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,"Subject-verb agreement error; 'categories' is plural, so the verb should be 'cover'.",26
Business,gcse-business---guidance-for-teaching-unit-2.csv,17,26,McDonalds,...o behaving in a sustainable manner:  • [**McDonalds** Coffee Sustainability/](https://www.you...,LTC,SPELLING_ERROR,90,Proper noun spelling error; should be 'McDonald's' with an apostrophe.,27
Business,gcse-business---guidance-for-teaching-unit-2.csv,18,26,McDonalds,"...://www.youtube.com/watch?v=r-ctYi_eipk)[**McDonalds** Change a little,](https://www.youtube.c...",LTC,SPELLING_ERROR,90,Proper noun spelling error; should be 'McDonald's' with an apostrophe.,27
Business,gcse-business---guidance-for-teaching-unit-2.csv,19,27,in in,...hlights the work that they are involved **in in** your surrounding area. A class stimulus...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Redundant repetition of the preposition 'in'.,28
Business,gcse-business---guidance-for-teaching-unit-2.csv,20,28,e commerce,"... robotics automation, etc.; marketing – **e commerce**, m-commerce, social media, EPOS, etc. L...",LTC,PARSING_ERROR,90,Missing hyphen in compound term; should be 'e-commerce'.,29
Business,gcse-business---guidance-for-teaching-unit-2.csv,21,30,self -checkout,"... create new types of work. For example, **self -checkout** machines at grocery stores might reduce...",LTC,PARSING_ERROR,100,Incorrect spacing in hyphenated compound word; should be 'self-checkout'.,31
Business,gcse-business---guidance-for-teaching-unit-2.csv,22,30,Lea rners,... needed to fix and manage the machines. **Lea rners** could then be asked to imagine what job...,LTC,PARSING_ERROR,100,"Word split by an extraneous space, likely a PDF conversion artifact; should be 'Learners'.",31
Business,gcse-business---guidance-for-teaching-unit-2.csv,23,30,all of the,"...eting, learners could create a mind map **all of the** ways that they know of that a business ...",LTC,STYLISTIC_PREFERENCE,70,The phrase 'all of the ways' is grammatically acceptable but 'all the ways' is more concise and commonly preferred in formal writing.,31
Business,gcse-business---guidance-for-teaching-unit-2.csv,24,31,so,...f the topics do address 3.6.1 Production** so** learners could either be told to avoid ...,LTC,STYLISTIC_PREFERENCE,70,"A comma before 'so' when it introduces an independent clause is a stylistic choice that improves readability, but its omission is not an absolute grammatical error.",32
Business,gcse-business---guidance-for-teaching-unit-2.csv,25,32,gasoline,...arbon emissions compared to traditional **gasoline** cars. An activity could be to create a ...,LTC,SPELLING_ERROR,90,'Gasoline' is American English; 'petrol' is the correct UK English term for WJEC documents.,33
Business,gcse-business---guidance-for-teaching-unit-2.csv,26,32,self -service,...ike Amazon or in fast -food chains with **self -service** kiosks. Have learners simulate the expe...,LTC,PARSING_ERROR,100,The space before the hyphen in 'self -service' is a parsing artifact; it should be 'self-service'.,33
Business,gcse-business---guidance-for-teaching-unit-2.csv,27,34,outside of,...an be carried out live and face to face **outside of** the educational setting. Learners could...,LTC,STYLISTIC_PREFERENCE,70,'Outside of' is often considered verbose; 'outside' is generally sufficient and preferred in formal writing.,35
Business,gcse-business---guidance-for-teaching-unit-2.csv,28,38,aging,"...changing population structures, like an **aging** population or growing youth market, and...",LTC,SPELLING_ERROR,90,'Aging' is American English; 'ageing' is the correct UK English term for WJEC documents.,39
Business,gcse-business---guidance-for-teaching-unit-2.csv,29,38,aging,... healthcare industry's expansion due to **aging** populations. | |  |  | To make learners...,LTC,SPELLING_ERROR,90,'Aging' is American English; 'ageing' is the correct UK English term for WJEC documents.,39
Business,gcse-business---guidance-for-teaching-unit-2.csv,30,39,the explore,...ridging the Gap. Learners could explore **the explore** the Co-op fairtrade webpage. |  {39}---...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,The phrase 'the explore the explore' contains a clear repetition and grammatical error.,40
Business,gcse-business---guidance-for-teaching-unit-2.csv,31,40,businesses,"...2.3.1b | Environmental issues caused by **businesses** activity | For climate change, learners...",LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,'Businesses activity' is grammatically incorrect; it should be 'business activity' or 'businesses' activity'.,41
Business,gcse-business---guidance-for-teaching-unit-2.csv,32,42,feedback,...ronmental benefits. Learners could then **feedback** to the class explaining how their ideas...,LTC,STYLISTIC_PREFERENCE,70,Using 'feedback' as a verb is informal; 'give feedback' or 'provide feedback' is preferred in formal writing.,43
Business,gcse-business---guidance-for-teaching-unit-2.csv,34,59,decisionmaking,...ectives and feelings of others in their **decisionmaking** processes.**  #### Personal Effectivene...,LTC,PARSING_ERROR,90,Missing hyphen for the compound noun 'decision-making' as per OED standard.,60
Business,gcse-business---guidance-for-teaching-unit-2.csv,35,62,pro-active,"...lity Pledge helps Welsh businesses take **pro-active** steps towards creating an inclusive, fa...",LTC,SPELLING_ERROR,90,"The word 'proactive' should be written as one word, not hyphenated, according to standard UK English.",63
Business,gcse-business---guidance-for-teaching-unit-2.csv,36,64,an,"..., and procedures put in place to manage **an** business's financial resources effectiv...",LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Incorrect article usage; 'a' should be used before 'business'.,65
Business,gcse-business---guidance-for-teaching-unit-2.csv,37,65,organized,"...group of people who live together in an **organized** way, making decisions about how to do t...",LTC,SPELLING_ERROR,90,Incorrect spelling; 'organised' (British English) should be used instead of 'organized' (American English).,66
Business,gcse-business---guidance-for-teaching-unit-3.csv,0,11,Lea rners,...--------------------------------------  **Lea rners** can be given one regulatory body and as...,LTC,PARSING_ERROR,100,Merged word due to parsing error; 'Learners' should be a single word.,12
Business,gcse-business---guidance-for-teaching-unit-3.csv,2,11,",","...ducation, healthcare, transport , etc . **,** and their own estimates can be compared...",LTC,FALSE_POSITIVE,90,The comma is correctly used to separate two independent clauses joined by a conjunction.,12
Business,gcse-business---guidance-for-teaching-unit-3.csv,3,11,Lea rners,...g businesses and those seeking to grow. **Lea rners** could be provided with case studies fro...,LTC,PARSING_ERROR,100,Merged word due to parsing error; 'Learners' should be a single word.,12
Business,gcse-business---guidance-for-teaching-unit-3.csv,5,13,a trade union learners,...quirements are met. - The right to join **a trade union learners** should know that they have a legal righ...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing full stop between 'trade union' and 'learners', creating a run-on sentence.",14
Business,gcse-business---guidance-for-teaching-unit-3.csv,6,14,as to whether,...had been dismissed and giving a verdict **as to whether** it was 'fair' or 'unfair' with their re...,LTC,STYLISTIC_PREFERENCE,70,"'As to whether' is grammatically acceptable, though 'whether' alone would be more concise.",15
Business,gcse-business---guidance-for-teaching-unit-3.csv,7,14,and,...n) can be allocated to pairs of learners** and** they can research and produce a summary...,LTC,POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,A comma before 'and' would improve clarity as it separates two independent clauses.,15
Business,gcse-business---guidance-for-teaching-unit-3.csv,12,21,McDonalds,...ways a business may segment its market. **McDonalds** could provide a good starting point for...,LTC,SPELLING_ERROR,100,Proper noun spelling error; should be 'McDonald's' with an apostrophe.,22
Business,gcse-business---guidance-for-teaching-unit-3.csv,15,24,multi-channel,...ution   - retailing   - wholesalers   - **multi-channel** distribution - the growing importance o...,LTC,FALSE_POSITIVE,90,'Multi-channel' is correctly hyphenated as a compound adjective.,25
Business,gcse-business---guidance-for-teaching-unit-3.csv,16,24,multi-channel,...uce a diagram to illustrate and explain **multi-channel** distribution. - Learners could examine ...,LTC,FALSE_POSITIVE,90,'Multi-channel' is correctly hyphenated as a compound adjective.,25
Business,gcse-business---guidance-for-teaching-unit-3.csv,17,25,short-listing,...ancies</li><li>job applications</li><li>**short-listing** and selection</li><li>references</li><l...,LTC,FALSE_POSITIVE,90,'Short-listing' is correctly hyphenated as a compound noun/gerund.,26
Business,gcse-business---guidance-for-teaching-unit-3.csv,18,25,Short-listing,...plication form for a local job vacancy. **Short-listing** and selection – take part in a paper-si...,LTC,PARSING_ERROR,90,Inconsistent hyphenation; the glossary on page 48 uses 'Shortlisting' (unhyphenated).,26
Business,gcse-business---guidance-for-teaching-unit-3.csv,19,28,a range businesses,...d market share. Learners could focus on **a range businesses** from their local area that are known fo...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,Missing preposition 'of' after 'range'; should be 'a range of businesses'.,29
