Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Highlighted Context
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,25,MORFOLOGIK_RULE_EN_GB,misspelling,tv,Possible spelling mistake found.,"TV, to",...tion Anthology]  - 1 they'd be watching **tv** downstairs in the lounge I'd be upstair...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,26,MORFOLOGIK_RULE_EN_GB,misspelling,frackers,Possible spelling mistake found.,"crackers, trackers, frankers (+1 more)",...eap** (.) and instant gas that even the **frackers**<sup>2</sup> are **astonished** at (3) w...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,26,MORFOLOGIK_RULE_EN_GB,misspelling,sorta,Possible spelling mistake found.,"sort, sorts, aorta (+7 more)",...hat's (.) in favour of fracking **kinda **sorta**** (3) **well** (.) as long - 10 as that...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,27,MORFOLOGIK_RULE_EN_GB,misspelling,antifracking,Possible spelling mistake found.,,"...O*, which represents the party's strong **antifracking** commitment. Other examples of emphatic ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,28,MORFOLOGIK_RULE_EN_GB,misspelling,lotta,Possible spelling mistake found.,"Lotta, gotta, Lott (+92 more)",...t know (.) about **real**life and for a **lotta** people that's // frustratin' it's a sen...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,29,MORFOLOGIK_RULE_EN_GB,misspelling,factsheet,Possible spelling mistake found.,"fact sheet, factsheets",...individual written response)  **Write a **factsheet** for GCSE learners to revise the key spo...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,30,MORFOLOGIK_RULE_EN_GB,misspelling,bbcnewsbeat,Possible spelling mistake found.,,...in the studio **directly** we're **at** **bbcnewsbeat** on **X** (.) and if you're listening on...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,30,MORFOLOGIK_RULE_EN_GB,misspelling,Naughtie,Possible spelling mistake found.,"Naughtier, Naughties",...erage age of listeners is 56.  N: James **Naughtie** W: Justin Webb  - N in the next hour we...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,32,MORFOLOGIK_RULE_EN_GB,misspelling,loadsa,Possible spelling mistake found.,"loads, loads a",...y what's swamping you? bet you've got ****loadsa**** maths with that resit comin' up - A o...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,32,MORFOLOGIK_RULE_EN_GB,misspelling,omg,Possible spelling mistake found.,"OMG, BMG, CMG (+1157 more)",...a** maths with that resit comin' up - A **omg** just **don't** mention that  ### CONTEX...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,33,MORFOLOGIK_RULE_EN_GB,misspelling,deixis,Possible spelling mistake found.,"Dennis, debris, deities (+20 more)","...ng a maths exam - situational language (**deixis** dependent on context): *here* (l.1), *n..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,35,MORFOLOGIK_RULE_EN_GB,misspelling,kneelers,Possible spelling mistake found.,"Steelers, keepers, kneels (+9 more)",...e the two pairs of (.) felt stools or ****kneelers**** that have been put there for the **br...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,38,MORFOLOGIK_RULE_EN_GB,misspelling,Backchannel,Possible spelling mistake found.,"Back-channel, Back channel",...s an uncooperative interaction.  #### ****Backchannel****  Speakers use verbal and non-verbal s...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,38,MORFOLOGIK_RULE_EN_GB,misspelling,backchannel,Possible spelling mistake found.,"back-channel, back channel","...he speaker, they are described as being **backchannel**.  Backchannel utterances are marked on ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,39,MORFOLOGIK_RULE_EN_GB,misspelling,mmmm,Possible spelling mistake found.,"MMM, mm mm","...ested.  The signals can be verbal (e.g. **mmmm**, yeah, right, uh-hhh, really, I see) or..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,39,MORFOLOGIK_RULE_EN_GB,misspelling,uh-hhh,Possible spelling mistake found.,uh-uh,"... can be verbal (e.g. mmmm, yeah, right, **uh-hhh**, really, I see) or non-verbal (e.g. nod..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,41,MORFOLOGIK_RULE_EN_GB,misspelling,NSE,Possible spelling mistake found.,"USE, NOSE, NSW (+44 more)",...sh** (SE) **and non-standard English** (**NSE**)  These are two varieties of English wh...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,42,MORFOLOGIK_RULE_EN_GB,misspelling,turntaking,Possible spelling mistake found.,turn taking,...that one speaker is dominant. Organised **turntaking** means that there are fewer overlaps and...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,43,MORFOLOGIK_RULE_EN_GB,misspelling,MacElhenny,Possible spelling mistake found.,McElhenney,...features (perhaps more than expected in **MacElhenny**'s turn): unintentional repetition e.g. ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,45,MORFOLOGIK_RULE_EN_GB,misspelling,coz,Possible spelling mistake found.,"because, con, cop (+61 more)",...l all times =  M = you had a good place **coz** you could run up and // down  J // **al...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,45,MORFOLOGIK_RULE_EN_GB,misspelling,th,Possible spelling mistake found.,"the, TH, Th (+98 more)",...e we lived we had eighty mango trees in **th**. (1) in the garden =  M = yes (.) and y...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,46,MORFOLOGIK_RULE_EN_GB,misspelling,backchannelling,Possible spelling mistake found.,"back-channelling, back channelling","... spoken concepts (e.g. adjacency pairs, **backchannelling**, codeswitching, interjections, normal n..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,46,MORFOLOGIK_RULE_EN_GB,misspelling,codeswitching,Possible spelling mistake found.,"code switching, codes witching","...(e.g. adjacency pairs, backchannelling, **codeswitching**, interjections, normal non-fluency, SE/..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,47,MORFOLOGIK_RULE_EN_GB,misspelling,cloze,Possible spelling mistake found.,"close, clone, clove (+1 more)",...ing adjacency pairs in a short example; **cloze** deletion where they have to insert the ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,49,MORFOLOGIK_RULE_EN_GB,misspelling,playscripts,Possible spelling mistake found.,"play scripts, playscript","...y texts, writers use spoken language in **playscripts** and novels to present characters and de..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,50,MORFOLOGIK_RULE_EN_GB,misspelling,ing,Possible spelling mistake found.,"ING, in, king (+1425 more)",...d. Words in brackets (often adverbs or –**ing** verbs) suggest how the actor may delive...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,50,MORFOLOGIK_RULE_EN_GB,misspelling,GEOF,Possible spelling mistake found.,"GEOFF, GEO, GEF (+7 more)",...here and don't wake me up for a month.  **GEOF**: Shall I put the light on?  JO: No. Don...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,50,MORFOLOGIK_RULE_EN_GB,misspelling,Geof,Possible spelling mistake found.,"Geoff, Geo, GEF (+6 more)",.... This helps her to characterise Jo and **Geof** as good friends.  ### **Spoken language...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,growed,"Possible spelling mistake. Did you mean “grew”, the past tense form of the verb ‘grow’?","grew, rowed, grower (+10 more)","...ow AIR you, Pip?""  ""Which you have that **growed**,"" said Joe, ""and that swelled, and that..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,gentle-folked,Possible spelling mistake found.,"gentlefolk, gentlefolks","..."" said Joe, ""and that swelled, and that **gentle-folked**;"" Joe considered a little before he dis..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,verbing,Possible spelling mistake found.,"verging, versing",...wn') and the neologism *gentle-folked* (**verbing** the noun 'gentlefolk') develop the char...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,54,MORFOLOGIK_RULE_EN_GB,misspelling,errr,Possible spelling mistake found.,"error, err, errs (+2 more)",...o just keep it **moving** - W yeah yeah **errr** this is a **disaster** HOW has that hap...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,55,MORFOLOGIK_RULE_EN_GB,misspelling,townhalls,Possible spelling mistake found.,"town halls, Townhall",...'s right to vote in America and visited **townhalls** to speak to local people. [WJEC Antholo...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,59,MORFOLOGIK_RULE_EN_GB,misspelling,Havisham,Possible spelling mistake found.,"Lavish, Lavishly, Evesham (+27 more)","...t, has just returned from visiting Miss **Havisham** at Satis House. He tells lies about his..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,61,MORFOLOGIK_RULE_EN_GB,misspelling,Hunsford,Possible spelling mistake found.,"Lunsford, Huns ford",...er friend Charlotte at the Parsonage in **Hunsford**. It is the first time they have met sin...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,64,MORFOLOGIK_RULE_EN_GB,misspelling,polysyndetic,Possible spelling mistake found.,,...d his supporters) - builds tension e.g. **polysyndetic** listing with tripling of violent verb *...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,65,MORFOLOGIK_RULE_EN_GB,misspelling,powhitetrash,Possible spelling mistake found.,,...feeling unsettled when Momma addresses '**powhitetrash**' girls using the honorific *Miz* e.g. r...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,66,MORFOLOGIK_RULE_EN_GB,misspelling,enjambement,Possible spelling mistake found.,enjambment,"...tructural devices like rhyme, rhythm or **enjambement**, and how these guide reader response an..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,67,MORFOLOGIK_RULE_EN_GB,misspelling,Inigo,Possible spelling mistake found.,"Iñigo, Indigo, Ingo (+1 more)",...an chair roughly carved in the taste of **Inigo** Jones.*<sup>2</sup> *On the same side a...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,70,MORFOLOGIK_RULE_EN_GB,misspelling,subheadline,Possible spelling mistake found.,subhead line,...ordinated modifiers *life or death*   - **subheadline** subject specific terms to explain conte...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,71,MORFOLOGIK_RULE_EN_GB,misspelling,Opoku,Possible spelling mistake found.,"Spoke, Epoch, Epochs (+9 more)","... English*, Stephen Kelman (2011)  Harri **Opoku**, an eleven-year-old boy, has recently m..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,71,MORFOLOGIK_RULE_EN_GB,misspelling,Asweh,Possible spelling mistake found.,"Asked, Answer, Ash (+31 more)","...air in a ponytail even if he was a man. **Asweh**,<sup>1</sup> the whole thing just felt ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,71,MORFOLOGIK_RULE_EN_GB,misspelling,chook,Possible spelling mistake found.,"kook, hook, cook (+7 more)","...fast. They don't talk to you, they just **chook**<sup>3</sup> you out of the way with the..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,71,MORFOLOGIK_RULE_EN_GB,misspelling,asasabonsam,Possible spelling mistake found.,,... the airport. You can pretend like it's **asasabonsam**'s teeth<sup>4</sup> trying to eat you. ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,71,MORFOLOGIK_RULE_EN_GB,misspelling,tuuuuuuuuuuuube,Possible spelling mistake found.,,...for donkey hours:  Me: 'We are in the ****tuuuuuuuuuuuube**!**' It felt brutal. Everybody jumped. [...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,72,MORFOLOGIK_RULE_EN_GB,misspelling,nanovirus,Possible spelling mistake found.,"nanotorus, nanowires, norovirus",... planet after having been infected by a **nanovirus**. In this extract from early in the evol...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,73,MORFOLOGIK_RULE_EN_GB,misspelling,Favourited,Possible spelling mistake found.,"Favourite, Favourites","...he winners photo. LOL And the review??? **Favourited** on my computer:  ""Jake Owen, Oh, Jakey...."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,73,MORFOLOGIK_RULE_EN_GB,misspelling,Jakey,Possible spelling mistake found.,"Jake, Jokey, Cakey (+1 more)","...urited on my computer:  ""Jake Owen, Oh, **Jakey**. You started with a few good jokes, but..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,73,MORFOLOGIK_RULE_EN_GB,misspelling,APPEN,Possible spelling mistake found.,"HAPPEN, ASPEN, APPEND (+2 more)",...it's my job to make sure it don't NEVA '**APPEN** again ...  **Text 2:** opening stanzas ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,74,MORFOLOGIK_RULE_EN_GB,misspelling,fooddelivery,Possible spelling mistake found.,food delivery,...meals that are ordered and sent out via **fooddelivery** apps. Britain is thought to have hundre...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,75,MORFOLOGIK_RULE_EN_GB,misspelling,chappulines,Possible spelling mistake found.,"capsulises, capsulizes, chappies (+3 more)","...a root vegetable. Next best are Mexican **chappulines** (grasshoppers roasted with chilli, salt..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,75,MORFOLOGIK_RULE_EN_GB,misspelling,Fatbottomed,Possible spelling mistake found.,Fat bottomed,...hich make a fantastic sour-spicy snack. **Fatbottomed** ants are available in the UK as a gimmi...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,78,MORFOLOGIK_RULE_EN_GB,misspelling,videogames,Possible spelling mistake found.,video games,"... of fantasy in literature, films and/or **videogames**.  #### OR  Write a script for a vlog gi..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,80,MORFOLOGIK_RULE_EN_GB,misspelling,postmodifying,Possible spelling mistake found.,,...ference to *civilization* at the end) – **postmodifying** clauses stress his insignificance (*kne...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,81,MORFOLOGIK_RULE_EN_GB,misspelling,Zup,Possible spelling mistake found.,"ZUP, Up, Cup (+877 more)","...ention—and there it was again; a faint ""**Zup**!"" Someone was throwing stones: Roger wa..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,82,MORFOLOGIK_RULE_EN_GB,misspelling,othering,Possible spelling mistake found.,"bothering, mothering, pothering",...s are valued above individual rights - '**othering**' people e.g. viewpoint that dehumanises...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,82,MORFOLOGIK_RULE_EN_GB,misspelling,Eyr,Possible spelling mistake found.,"Eye, Ear, Ayr (+28 more)",...Rochester from Charlotte Brontë's *Jane **Eyr***e and creates a prequel for the 'mad wo...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,82,MORFOLOGIK_RULE_EN_GB,misspelling,ABCB,Possible spelling mistake found.,"ABCs, ABC, ABB (+6 more)",...nctive structure e.g. quatrains with an **ABCB** rhyme scheme - distinctive style e.g. u...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,83,MORFOLOGIK_RULE_EN_GB,misspelling,Longbourn,Possible spelling mistake found.,"Longhorn, Longboard","...emporary attitudes. In this 1813 novel, **Longbourn**, the Bennet home, is ""entailed"" so that..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,83,MORFOLOGIK_RULE_EN_GB,misspelling,Netherfield,Possible spelling mistake found.,Nether field,"... sister Jane, who is ill and staying at **Netherfield**. Austen shapes attitudes to this throug..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,85,MORFOLOGIK_RULE_EN_GB,misspelling,twentyfirst,Possible spelling mistake found.,"twenty-first, twenty first","...nguage associated with diversity in the **twentyfirst** century, using the review of Rosie Jone..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,85,MORFOLOGIK_RULE_EN_GB,misspelling,sociohistoric,Possible spelling mistake found.,sociohistorical,...ople and the natural world in different **sociohistoric** contexts.  ### **Status/power in contex...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,90,MORFOLOGIK_RULE_EN_GB,misspelling,Sabring,Possible spelling mistake found.,"Sabrina, Sebring, Sacring (+2 more)","...res bare, Flashed as they turned in air **Sabring** the gunners there, Charging an army, wh..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,91,MORFOLOGIK_RULE_EN_GB,misspelling,Brimingham,Possible spelling mistake found.,Birmingham,"...nd dangerous.  In an interview with the **Brimingham** Repertory Theatre, Kelly said his play ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,92,MORFOLOGIK_RULE_EN_GB,misspelling,Ossob,Possible spelling mistake found.,Os sob,"...xtract from a newspaper opinion column, **Ossob** Mohamud (2013)  ### Contextual informat..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,92,MORFOLOGIK_RULE_EN_GB,misspelling,Mohamud,Possible spelling mistake found.,"Mohamad, Mohamed","... from a newspaper opinion column, Ossob **Mohamud** (2013)  ### Contextual information  Thi..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,92,MORFOLOGIK_RULE_EN_GB,misspelling,voluntourism,Possible spelling mistake found.,"voluntarism, volunteerism","...as part of a debate about the value of '**voluntourism**', a neologism first used in 1991. It is..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,92,MORFOLOGIK_RULE_EN_GB,misspelling,Voluntourism,Possible spelling mistake found.,"Voluntarism, Volunteerism","...or contributing to environmental work.  **Voluntourism** aims to have a positive impact, but it ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,92,MORFOLOGIK_RULE_EN_GB,misspelling,voluntourists,Possible spelling mistake found.,voluntarists,...hat volunteers visit.  ## **Beware the '**voluntourists**' doing good**  The volunteer travel ind...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,92,MORFOLOGIK_RULE_EN_GB,misspelling,povertystricken,Possible spelling mistake found.,"poverty-stricken, poverty stricken",... week volunteering in disadvantaged and **povertystricken** communities. This could take the form o...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,92,MORFOLOGIK_RULE_EN_GB,misspelling,cleanups,Possible spelling mistake found.,"clean-ups, clean ups, cleanup","...w homes for residents, or environmental **cleanups**. Spread throughout the week there were ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,93,MORFOLOGIK_RULE_EN_GB,misspelling,selfsatisfaction,Possible spelling mistake found.,"self-satisfaction, self satisfaction",...of whether these trips are more for the **selfsatisfaction** of the volunteer than about helping poo...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,96,MORFOLOGIK_RULE_EN_GB,misspelling,Frasers,Possible spelling mistake found.,"Fraser's, Fraser, Framers (+2 more)",...Richard Mason burst into my room at the **Frasers** as I was finishing my first cup of coff...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,97,MORFOLOGIK_RULE_EN_GB,misspelling,asyndetic,Possible spelling mistake found.,"syndetic, a syndetic","... panicked, despairing state of mind   - **asyndetic** listing e.g. *Everything arranged, the ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,97,MORFOLOGIK_RULE_EN_GB,misspelling,ennit,Possible spelling mistake found.,"Ennis, ENIT, innit (+1 more)",".../sup>  MAI: Why not? Is a free country, **ennit**? I couldn't live without a few fowl in ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,97,MORFOLOGIK_RULE_EN_GB,misspelling,nuh,Possible spelling mistake found.,"nun, nut, nu (+30 more)","...MAI *goes to the door.*  MAI: Come sit, **nuh**.<sup>2</sup>  DEL *sits*.  DEL: This is..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,103,MORFOLOGIK_RULE_EN_GB,misspelling,her blest,Possible spelling mistake found.,"herb lest, her blessed, her best (+11 more)","...s? Is she not proud? Doth she not count **her blest**, Unworthy as she is, that we have wroug..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,103,MORFOLOGIK_RULE_EN_GB,misspelling,thankings,Possible spelling mistake found.,"thanking, tankings, thinkings (+1 more)","...s minion,<sup>2</sup> you, Thank  me no **thankings**, nor, proud me no prouds, But fettle yo..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,103,MORFOLOGIK_RULE_EN_GB,misspelling,prouds,Possible spelling mistake found.,"proud, prods","...hank  me no thankings, nor, proud me no **prouds**, But fettle your fine joints<sup>3</sup..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,103,MORFOLOGIK_RULE_EN_GB,misspelling,gainst,Possible spelling mistake found.,"against, gains, 'gainst","...ut fettle your fine joints<sup>3</sup> '**gainst** Thursday next,  To go with Paris to Sai..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,103,MORFOLOGIK_RULE_EN_GB,misspelling,hilding,Possible spelling mistake found.,"holding, hiding, gilding (+1 more)","...ave a curse in having her.  Out on her, **hilding**!6  {104}-------------------------------..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,105,MORFOLOGIK_RULE_EN_GB,misspelling,Kipps,Possible spelling mistake found.,Kips,"...story, the first person narrator Arthur **Kipps** describes an experience he had as a you..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,105,MORFOLOGIK_RULE_EN_GB,misspelling,Drablow,Possible spelling mistake found.,Drab low,"... House to sort out the affairs of Alice **Drablow** after her death.  In this extract, he d..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,106,MORFOLOGIK_RULE_EN_GB,misspelling,reck,Possible spelling mistake found.,"reach, rock, deck (+23 more)","...of oil Crushed. Why do men then now not **reck** his rod? Generations have trod, have tr..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,107,MORFOLOGIK_RULE_EN_GB,misspelling,moodswings,Possible spelling mistake found.,"mood swings, moods wings","... cups rightly tossed back by an ocean's **moodswings**. Undisturbed, not even by a sea bird, I..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,110,MORFOLOGIK_RULE_EN_GB,misspelling,GoNorthWales,Possible spelling mistake found.,,...icial North Wales tourist board website **GoNorthWales**. The writers promote North Wales as a d...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,111,MORFOLOGIK_RULE_EN_GB,misspelling,surffringed,Possible spelling mistake found.,surf fringed,...exham and Llangollen in the east to the **surffringed** rocks of Anglesey and the Llyn Peninsul...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,111,MORFOLOGIK_RULE_EN_GB,misspelling,Llyn,Possible spelling mistake found.,"Lyn, Glyn, Ellyn (+2 more)","...e surffringed rocks of Anglesey and the **Llyn** Peninsula in the west, North Wales pack..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,111,MORFOLOGIK_RULE_EN_GB,misspelling,Betws-y-Coed,Possible spelling mistake found.,Bets-y-Coed,...he sea. Or the unspoiled landscapes of [**Betws-y-Coed**](https://www.gonorthwales.co.uk/explore...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,117,MORFOLOGIK_RULE_EN_GB,misspelling,selfperception,Possible spelling mistake found.,"self-perception, self perception",... the experience to emphasise how Maya's **selfperception** is already influenced by society's raci...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,117,MORFOLOGIK_RULE_EN_GB,misspelling,color,Possible spelling mistake. ‘color’ is American English.,colour,...was silk and that made up for the awful **color**.) I was going to look like one of the s...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,117,MORFOLOGIK_RULE_EN_GB,misspelling,cutdown,Possible spelling mistake found.,"putdown, cut down",... had shown the dress to be a plain ugly **cutdown** from a white woman's once-was-purple th...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,117,MORFOLOGIK_RULE_EN_GB,misspelling,agefaded,Possible spelling mistake found.,age faded,...owdered with the Arkansas red clay. The **agefaded** color made my skin look dirty like mud ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,118,MORFOLOGIK_RULE_EN_GB,misspelling,Kingshaw,Possible spelling mistake found.,Kings haw,"...is extract, Edmund Hooper meets Charles **Kingshaw** for the first time. Charles has come to..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,118,MORFOLOGIK_RULE_EN_GB,misspelling,Warings,Possible spelling mistake found.,"Waring's, Waring, Warnings (+14 more)","...e why it is better to have a house like **Warings**, I see why my father goes about clutchi..."
